"DateTime","Bus","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"20-OCT-2013 07:30","301",2.75,0.00,10.17,13.99,0.00,0.00,0.00
"20-OCT-2013 07:30","302",0.00,0.00,10.17,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","303",0.00,70.44,9.89,0.00,348.42,0.00,0.00
"20-OCT-2013 07:30","304",0.00,0.00,9.86,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","305",0.00,0.00,9.86,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","306",0.00,0.00,9.86,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","307",0.00,0.10,9.86,0.00,0.49,0.00,0.00
"20-OCT-2013 07:30","308",0.00,20.29,10.01,0.00,101.51,0.00,0.00
"20-OCT-2013 07:30","309",0.00,0.00,10.00,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","312",0.00,21.43,10.44,0.00,111.84,0.00,0.00
"20-OCT-2013 07:30","313",0.00,0.00,10.43,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","314",0.00,0.00,10.43,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","315",0.00,0.00,10.42,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","316",0.00,25.50,9.93,0.00,126.64,0.00,0.00
"20-OCT-2013 07:30","317",0.00,0.00,9.92,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","318",0.00,0.00,9.88,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","319",0.00,4.72,10.24,0.00,24.17,0.00,0.00
"20-OCT-2013 07:30","320",0.00,0.00,10.22,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","321",0.00,0.00,10.22,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","322",0.00,33.79,9.90,0.00,167.27,0.00,0.00
"20-OCT-2013 07:30","323",0.00,0.00,9.89,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","324",0.00,10.33,9.86,0.00,50.91,0.00,0.00
"20-OCT-2013 07:30","325",0.00,0.00,9.85,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","326",0.00,22.28,10.02,0.00,111.55,0.00,0.00
"20-OCT-2013 07:30","327",0.00,0.00,10.01,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","328",0.00,7.80,9.94,0.00,38.74,0.00,0.00
"20-OCT-2013 07:30","329",0.00,0.00,9.92,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","330",0.00,8.86,10.08,0.00,44.67,0.00,0.00
"20-OCT-2013 07:30","331",0.00,0.00,10.06,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","332",0.00,0.00,9.90,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","333",18.00,0.00,9.90,89.09,0.00,0.00,0.00
"20-OCT-2013 07:30","334",0.00,0.00,9.90,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","335",0.00,0.00,10.04,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","336",0.00,4.16,10.06,0.00,20.95,0.00,0.00
"20-OCT-2013 07:30","337",0.00,0.00,10.05,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","338",0.00,0.09,10.06,0.00,0.44,0.00,0.00
"20-OCT-2013 07:30","339",0.00,0.09,10.06,0.00,0.44,0.00,0.00
"20-OCT-2013 07:30","340",0.00,0.00,10.06,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","341",0.00,8.90,10.00,0.00,44.51,0.00,0.00
"20-OCT-2013 07:30","342",0.00,0.00,9.99,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","343",0.00,0.00,9.98,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","344",0.00,9.44,10.02,0.00,47.29,0.00,0.00
"20-OCT-2013 07:30","345",0.00,0.00,10.03,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","346",0.00,0.00,9.93,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","347",0.00,0.00,9.93,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","348",0.00,18.25,10.01,0.00,91.31,0.00,0.00
"20-OCT-2013 07:30","349",0.00,0.00,9.93,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","350",0.00,0.74,9.93,0.00,3.68,0.00,0.00
"20-OCT-2013 07:30","351",0.00,0.00,9.93,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","352",0.00,0.00,9.93,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","353",0.00,0.00,9.92,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","354",8.16,0.00,9.92,40.50,0.00,0.00,0.00
"20-OCT-2013 07:30","355",5.84,0.00,9.92,28.96,0.00,0.00,0.00
"20-OCT-2013 07:30","356",0.00,0.00,9.92,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","357",0.00,2.89,9.89,0.00,14.29,0.00,0.00
"20-OCT-2013 07:30","358",0.00,0.00,9.88,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","359",21.00,0.00,9.92,104.18,0.00,0.00,0.00
"20-OCT-2013 07:30","360",0.00,0.00,9.92,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","361",51.00,0.00,9.66,246.29,0.00,0.00,0.00
"20-OCT-2013 07:30","362",51.00,0.00,9.66,246.29,0.00,0.00,0.00
"20-OCT-2013 07:30","363",0.00,0.00,9.66,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","364",37.50,0.00,10.04,188.33,0.00,0.00,0.00
"20-OCT-2013 07:30","365",37.50,0.00,10.04,188.33,0.00,0.00,0.00
"20-OCT-2013 07:30","366",37.50,0.00,10.04,188.33,0.00,0.00,0.00
"20-OCT-2013 07:30","367",37.50,0.00,10.04,188.33,0.00,0.00,0.00
"20-OCT-2013 07:30","368",0.00,3.76,10.06,0.00,18.90,0.00,0.00
