"DateTime","Node","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"20-OCT-2013 07:30","TWH0331 TUK0",0.00000,0.00000,10.23276,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","WDV1101 TAP0",0.00000,0.00000,9.68103,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","WGN0331",0.00000,13.47900,9.86619,0.00000,66.49321,0.00000,0.00000
"20-OCT-2013 07:30","WHI0111",0.00000,70.44100,9.89263,0.00000,348.42332,0.00000,0.00000
"20-OCT-2013 07:30","WHI2201 WHI0",0.00000,0.00000,9.85982,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","WHU0331",0.00000,27.85400,10.69238,0.00000,148.91284,0.00000,0.00000
"20-OCT-2013 07:30","WKM2201 MOK0",113.00000,0.00000,10.15906,573.98716,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","WKM2201 WKM0",46.00000,0.00000,10.15906,233.65849,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","WKO0331",0.00000,21.29500,10.68259,0.00000,113.74285,0.00000,0.00000
"20-OCT-2013 07:30","WPA2201 WPA0",22.00000,0.00000,10.14532,111.59855,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","WRK0331",0.00000,22.45100,9.69768,0.00000,108.86132,0.00000,0.00000
"20-OCT-2013 07:30","WRK0331 RKA0",33.00000,0.00000,9.69768,160.01174,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","WRK0331 TAA0",24.00000,0.00000,9.69768,116.37218,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","WRK2201 WRK0",145.00000,0.00000,9.76018,707.61320,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","WTK0111 WTK0",50.00000,0.00000,9.01591,225.39775,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","WWD1102 WWD0",0.00000,0.00000,9.57244,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","WWD1103 WWD0",0.00000,0.00000,9.57513,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","ABY0111",0.00000,-4.62000,9.02608,0.00000,-20.85024,0.00000,0.00000
"20-OCT-2013 07:30","ADD0111",0.00000,20.87600,9.39706,0.00000,98.08647,0.00000,0.00000
"20-OCT-2013 07:30","ADD0661",0.00000,28.36400,9.38216,0.00000,133.05780,0.00000,0.00000
"20-OCT-2013 07:30","ALB0331",0.00000,54.24200,10.48045,0.00000,284.24040,0.00000,0.00000
"20-OCT-2013 07:30","ALB1101",0.00000,48.80500,10.47386,0.00000,255.58847,0.00000,0.00000
"20-OCT-2013 07:30","APS0111",0.00000,0.15400,8.91103,0.00000,0.68615,0.00000,0.00000
"20-OCT-2013 07:30","ASB0331",0.00000,16.37700,9.26779,0.00000,75.88932,0.00000,0.00000
"20-OCT-2013 07:30","ASB0661",0.00000,24.28100,9.26008,0.00000,112.42206,0.00000,0.00000
"20-OCT-2013 07:30","ASY0111",0.00000,8.85600,9.57608,0.00000,42.40288,0.00000,0.00000
"20-OCT-2013 07:30","ATU1101",0.00000,0.50600,9.72387,0.00000,2.46014,0.00000,0.00000
"20-OCT-2013 07:30","BAL0331",0.00000,11.51300,9.29863,0.00000,53.52758,0.00000,0.00000
"20-OCT-2013 07:30","BDE0111",0.00000,6.78200,9.57664,0.00000,32.47437,0.00000,0.00000
"20-OCT-2013 07:30","BLN0331",0.00000,28.69800,9.79082,0.00000,140.48848,0.00000,0.00000
"20-OCT-2013 07:30","BOB0331",0.00000,10.16400,10.52468,0.00000,53.48642,0.00000,0.00000
"20-OCT-2013 07:30","BPD1101",0.00000,2.60000,9.33064,0.00000,12.12984,0.00000,0.00000
"20-OCT-2013 07:30","BPE0331",0.00000,16.10400,9.78796,0.00000,78.81266,0.00000,0.00000
"20-OCT-2013 07:30","BPE0551",0.00000,0.17100,9.78654,0.00000,0.83675,0.00000,0.00000
"20-OCT-2013 07:30","BPT1101",0.00000,0.18000,9.16228,0.00000,0.82461,0.00000,0.00000
"20-OCT-2013 07:30","BRB0331",0.00000,41.00300,10.65605,0.00000,218.46491,0.00000,0.00000
"20-OCT-2013 07:30","BRK0331",0.00000,10.32600,9.86094,0.00000,50.91203,0.00000,0.00000
"20-OCT-2013 07:30","BRY0111",0.00000,12.01000,9.35206,0.00000,56.15913,0.00000,0.00000
"20-OCT-2013 07:30","BRY0661",0.00000,40.32000,9.33576,0.00000,188.20889,0.00000,0.00000
"20-OCT-2013 07:30","BWK1101",0.00000,0.04100,9.17097,0.00000,0.18800,0.00000,0.00000
"20-OCT-2013 07:30","CBG0111",0.00000,26.27500,10.61544,0.00000,139.46034,0.00000,0.00000
"20-OCT-2013 07:30","CLH0111",0.00000,0.22100,8.77312,0.00000,0.96943,0.00000,0.00000
"20-OCT-2013 07:30","CML0331",0.00000,7.28500,9.01067,0.00000,32.82137,0.00000,0.00000
"20-OCT-2013 07:30","COL0111",0.00000,0.13100,8.68067,0.00000,0.56858,0.00000,0.00000
"20-OCT-2013 07:30","CPK0111",0.00000,7.14800,9.66874,0.00000,34.55606,0.00000,0.00000
"20-OCT-2013 07:30","CST0331",0.00000,22.27500,10.01593,0.00000,111.55242,0.00000,0.00000
"20-OCT-2013 07:30","CUL0331",0.00000,6.49800,9.45767,0.00000,30.72796,0.00000,0.00000
"20-OCT-2013 07:30","CUL0661",0.00000,3.83500,9.47862,0.00000,18.17525,0.00000,0.00000
